start	target	type
Herbert W. Franke	Computer Animation 1987	jurymember in
Interactive Art 1999	Kouichirou Eto	awarded
Computer Animation / Visual Effects 2004	Sejong Park	awarded
Computer Animation 1995	Chuck Gamble	awarded
Computer Animation 1994	Thomas Zancker	awarded
Computer Animation / Visual Effects 2001	Mike Daly	awarded
Ed Burton	Net Vision / Net Excellence 2003	jurymember in
u19 – freestyle computing 2009	Nana Susanne Thurner	awarded
Computer Graphics 1993	Mogens Jacobsen	awarded
cybergeneration-u19 freestyle computing 2000	Sebastian Endt	awarded
Computer Graphics 1989	Tamás Waliczky	awarded
Interactive Art 1996	Brian Duggan	awarded
cybergeneration-u19 freestyle computing 1998	Informatikgruppe der Hauptschule Mittersill	awarded
Computer Animation/Visual Effects 2006	Jan Bitzer	awarded
Computer Animation / Visual Effects 2000	Makoto Sugawara	awarded
Barbara Robertson	Computer Animation / Visual Effects 2004	jurymember in
Stefan Sagmeister	cybergeneration-u19 freestyle computing 1998	jurymember in
Interactive Art 1994	Edward Elliott	awarded
Computer Animation / VFX / Film 2007	Nobuo Takahashi	awarded
u19-freestyle computing 2005	Lena Goldsteiner	awarded
Interactive Art 2005	Brody Condon	awarded
Computer Animation/Visual Effects 2006	Tom Weber	awarded
Computer Music 1995	Cort Lippe	awarded
Interactive Art 1996	Jason Ditmars	awarded
Interactive Art 1991	Paul Sermon	awarded
.net 2000	Neal Stephenson	awarded
.net 1999	Nick Philip	awarded
Interactive Art 2007	Sonia Cillari	awarded
Computer Animation/VFX/Film 2008	Johannes Gees	awarded
Net Vision / Net Excellence 2001	Team cHmAn	awarded
u19 - freestyle computing 2006	Felix Gruber	awarded
Computer Animation/VFX/Film 2008	Weta Digital Ltd	awarded
David Traub	World Wide Web 1996	jurymember in
u19 – freestyle computing 2009	Hauptschule Dr.-Aloys-Weissenbach Telfs	awarded
Interactive Art 2009	Golan Levin	awarded
Digital Musics 2006	Greg Anderson	awarded
Computer Animation 1991	Simi Nallaseth	awarded
cybergeneration-u19 freestyle computing 2003	Georg Gruber	awarded
cybergeneration-u19 freestyle computing 1998	Gottfried Haider	awarded
Computer Graphics 1991	Victor Acevedo	awarded
Gustav Pomberger	[the next idea] Art- and Technology Grant 2004	jurymember in
Interactive Art 1997	Dirk Lüsebrink	awarded
Computer Animation 1990	Mario Sasso	awarded
Interactive Art 1992	Monika Fleischmann	awarded
Hans Wu	cybergeneration-u19 freestyle computing 2002	jurymember in
Computer Animation / Visual Effects 2004	Xavier André	awarded
Computer Animation/VFX/Film 2008	Heiko Hansen	awarded
Net Vision 2004	Anne Pascual	awarded
Computer Music 1993	Adrian Moore	awarded
Interactive Art 1997	Kazuhiko Hachiya	awarded
World Wide Web 1995	Station Rose	awarded
Steve Rogers	Digital Communities 2007	jurymember in
Computer Animation 1995	Tamara Munzner	awarded
Computer Music 1993	Bernard Parmegiani	awarded
Alex Graham	Computer Graphics 1987	jurymember in
Computer Animation / Visual Effects 2001	Hans Uhlig	awarded
Computer Animation / Visual Effects 1999	Geoffrey Guiot	awarded
Net Vision 2004	Dan Albritton	awarded
Computer Animation / Visual Effects 2000	Markus Degen	awarded
Interactive Art 1991	Mona Sarkis	awarded
Digital Communities 2005	Peter Griffin	awarded
Digital Communities 2005	CEPES	awarded
cybergeneration-u19 freestyle computing 2001	Michaela Plöchl	awarded
Interactive Art 2009	Lawrence Malstaf	awarded
cybergeneration-u19 freestyle computing 2001	Nicole Karner	awarded
u19 - freestyle computing 2007	Manuel Eder	awarded
cybergeneration-u19 freestyle computing 2002	René Weirather	awarded
Computer Graphics 1988	Laszló Kiss	awarded
Jens Hauser	Hybrid Art 2009	jurymember in
Rita Street	Computer Animation / Visual Effects 2003	jurymember in
Interactive Art 1990	Jill Scott	awarded
Huang Haitao	Digital Communities 2009	jurymember in
Interactive Art 1992	Robert McFadden	awarded
Computer Animation 1995	Martin Koch	awarded
Computer Animation 1995	Kurt Fleischer	awarded
Anezka Sebek	Computer Animation / Film / VFX 2009	jurymember in
Barbara Robertson	Computeranimation / Visual Effects 2002	jurymember in
u19 - freestyle computing 2006	Emanuel Jauk	awarded
Interactive Art 2004	Dawn Stoppiello	awarded
Digital Musics 2006	Mimiz	awarded
Interactive Art 1998	Maurice Benayoun	awarded
cybergeneration-u19 freestyle computing 1999	Armin Weihbold	awarded
u19 - freestyle computing 2008	Emanuel Jöbstl	awarded
.net 1997	Steve Mann	awarded
Computer Animation / VFX / Film 2007	Alex Weil	awarded
Masuyama	Interactive Art 2002	jurymember in
u19-freestyle computing 2004	Michaela Meindl	awarded
Monique Mulder	Interactive Art 1995	jurymember in
Computer Animation / Visual Effects 2000	Chris Gallagher	awarded
Hybrid Art 2009	MHarwood	awarded
.net 1997	Zervos Komninos-Kostant	awarded
Computer Animation / Visual Effects 2001	Tommy Pallotta	awarded
Net Vision / Net Excellence 2003	Golan Levin	awarded
Interactive Art 2008	Du Zhenjun	awarded
etoy.TAKI	cybergeneration-u19 freestyle computing 2001	jurymember in
cybergeneration-u19 freestyle computing 1998	Christoph Sprenger	awarded
Computer Animation / Visual Effects 1999	John Lasseter	awarded
Interactive Art 2008	Markus Kison	awarded
Computer Animation/Visual Effects 2005	Guilherme Marcondes	awarded
Tim Edler	Hybrid Art 2008	jurymember in
Computer Music 1995	Ron Averill	awarded
Computer Music 1992	Francis Dhomont	awarded
Alfred Nemeczek	Computer Animation 1991	jurymember in
Interactive Art 2009	Fabian Winkler	awarded
Interactive Art 2003	Blast Theory	awarded
Orhan Kipcak	[the next idea] Art and Technology Grant 2007	jurymember in
Lars-Gunnar Bodin	Computer Music 1993	jurymember in
cybergeneration-u19 freestyle computing 2001	Markus Triska	awarded
Interactive Art 2000	Julien Alma	awarded
Digital Musics 2005	Pan Sonic	awarded
Computer Animation / Visual Effects 2000	N + N Corsino	awarded
Masahiro Miwa	Digital Musics 2004	jurymember in
u19 - freestyle computing 2006	The ThreeCees	awarded
Interactive Art 1993	Stephen Wilson	awarded
Computer Animation/Visual Effects 2005	Takahiro Hayakawa	awarded
.net 2000	Yae Akaiwa	awarded
u19 – freestyle computing 2009	Alexander Niederklapfer	awarded
Computer Animation / Visual Effects 1999	Damon Murray	awarded
Computer Music 1993	Kaija Saariaho	awarded
Tomoe Moriyama	Interactive Art 2003	jurymember in
Interactive Art 2004	Golan Levin	awarded
Robert Legato	Computer Animation / Visual Effects 1999	jurymember in
Digital Musics 2001	Louis Dufort	awarded
Gerhard Johann Lischka	Computer Animation 1991	jurymember in
Richard Kriesche	Hybrid Art 2008	jurymember in
Ines Hardtke	Computer Animation / Visual Effects 2000	jurymember in
cybergeneration-u19 freestyle computing 2003	Armin Ronacher	awarded
Computer Music 1989	Wolfgang Mitterer	awarded
Computer Music 1994	Mesias Maiguashca	awarded
Alfred Nemeczek	Computer Graphics 1987	jurymember in
Interactive Art 2003	Iori Nakai	awarded
Interactive Art 2001	Carsten Nicolai	awarded
	Stefanie Mitter	awarded
Interactive Art 2001	Marko Peljhan	awarded
Hybrid Art 2009	KASCADE	awarded
Ivan Tsupka	Computer Animation / VFX / Film 2007	jurymember in
Werner Jauk	Computer Music 1997	jurymember in
Roy Ascott	Interactive Art 1990	jurymember in
Hybrid Art 2007	Kevin Ponto	awarded
Interactive Art 2005	Jessica Hutchins	awarded
Net Vision / Net Excellence 2001	Eric Zimmerman	awarded
Computer Music 1992	Denis Smalley	awarded
Michael Kass	Computer Graphics 1993	jurymember in
Valie Export	Computer Animation 1996	jurymember in
Interactive Art 2002	Kasper T. Toeplitz	awarded
Interactive Art 2006	Alberto Frigo	awarded
Interactive Art 1996	Knut Mork	awarded
Interactive Art 2000	Michael Bielicky	awarded
Digital Musics 2003	Ami Yoshida	awarded
Computer Music 1987	Amnon Wolman	awarded
Interactive Art 1995	Rafael Lozano-Hemmer	awarded
Milan Knizak	Computer Graphics 1991	jurymember in
Sally N. Rosenthal	Computer Animation 1995	jurymember in
Tony Herrington	Digital Musics 2001	jurymember in
Hybrid Art 2009	Eric Gunther	awarded
Computer Animation 1987	Lillian Feldman-Schwartz	awarded
Interactive Art 1998	Mark Raszewski	awarded
cybergeneration-u19 freestyle computing 1999	Raimund Schumacher	awarded
Interactive Art 1999	construct	awarded
Computer Animation / Visual Effects 1999	Alain Escalle	awarded
Computer Music 1993	Robert Normandeau	awarded
Digital Communities 2004	Heather Lawver	awarded
Interactive Art 2005	Mrityunjay Chatterjee	awarded
Computer Animation / Visual Effects 2004	Francois Blondeau	awarded
u19 – freestyle computing 2009	Sinja Hemer	awarded
Tomoe Moriyama	Interactive Art 2008	jurymember in
Computer Animation / Visual Effects 1998	Jan Pinkava	awarded
World Wide Web 1995	Charles Henrich	awarded
Computer Music 1993	Cort Lippe	awarded
Net Vision / Net Excellence 2002	Jonathan Gay	awarded
Digital Musics 2002	Mika Vainio	awarded
Interactive Art 2002	Michael Saup	awarded
Scott DeLahunta	Interactive Art 2004	jurymember in
Computer Graphics 1988	Andy Kopra	awarded
Interactive Art 1994	Susan Amkraut	awarded
Net Vision 2005	Martin Sägmüller	awarded
Gerhard Johann Lischka	Computer Graphics 1992	jurymember in
Andreas Hirsch	Digital Communities 2006	jurymember in
Computer Animation / Visual Effects 1999	Chris Wedge	awarded
Digital Communities 2004	The Lomographic Society International	awarded
Digital Musics 2007	Polina Voronova	awarded
Digital Musics 2002	Curtis Roads	awarded
u19-freestyle computing 2005	Multimedia Graphische Wien	awarded
World Wide Web 1996	Joey Anuff	awarded
Florian Rötzer	Interactive Art 1993	jurymember in
Laetitia Sonami	Computer Music 1998	jurymember in
Johnie Hugh Horn	Computer Animation 1995	jurymember in
Computer Animation / Visual Effects 2000	Jakub Pistecky	awarded
Sirikit Amann	u19-freestyle computing 2005	jurymember in
cybergeneration-u19 freestyle computing 2001	Martin Spazierer	awarded
Interactive Art 2008	Pablo Valbuena	awarded
Computer Animation 1992	Xavier Duval	awarded
Loren Carpenter	Computer Animation 1989	jurymember in
Stephen Kovats	Interactive Art 2008	jurymember in
Loren Carpenter	Computer Animation 1987	jurymember in
Interactive Art 2006	Yunchul Kim	awarded
Ivanka Stoianova	Computer Music 1994	jurymember in
Hybrid Art 2007	Julien Maire	awarded
Josef Klammer	Digital Musics 2008	jurymember in
Paolo Calcagno	Computer Animation 1990	jurymember in
Net Vision 2005	Rainer Prohaska	awarded
Stuart Maschwitz	Computeranimation / Visual Effects 2002	jurymember in
Kiyoshi Furukawa	Digital Musics 2007	jurymember in
cybergeneration-u19 freestyle computing 2002	Iris u. Silvia Schweinöster	awarded
Computer Animation / Visual Effects 2003	Cristel Pougeoise	awarded
Computer Music 1993	Pascal Gaigne	awarded
Paolo Calcagno	Computer Animation 1989	jurymember in
World Wide Web 1995	Catherine de Courten	awarded
Digital Musics 2008	Andrea Neumann	awarded
Interactive Art 2001	Smart Studio	awarded
A. J. Mitchell	Computer Graphics 1992	jurymember in
Andy Cameron	Interactive Art 2009	jurymember in
Computer Animation / Film / VFX 2009		awarded
Digital Musics 2002	Yasunao Tone	awarded
Gerhard Johann Lischka	Computer Graphics 1993	jurymember in
Digital Communities 2005	Akshaya	awarded
Interactive Art 2004	Ben Rubin	awarded
Digital Musics 2001	John Hudak	awarded
u19 - freestyle computing 2007	Victoria Hohensinner	awarded
Computer Animation/Visual Effects 2006	Supinfocom	awarded
Computer Animation/VFX/Film 2008	Mikko Hynninen	awarded
Computer Music 1987	Jean-Claude Risset	awarded
Computer Animation 1989	Motohiro Hayasaka	awarded
Digital Musics 2003	Rudolf Eb.er	awarded
Computer Music 1987	Marc André Dalbavie	awarded
Computer Animation / VFX / Film 2007	Stéphane Ceretti	awarded
Computer Animation 1994	Peter Callas	awarded
Computer Animation/VFX/Film 2008	Alexander Ponomarev	awarded
Computer Animation/Visual Effects 2005	Shane Acker	awarded
Computer Graphics 1994	Gavin Miller	awarded
Rick Sayre	Computeranimation / Visual Effects 2002	jurymember in
Computer Graphics 1992	Stewart McSherry	awarded
Computer Animation / Visual Effects 1999	Shelley Eshkar	awarded
Hybrid Art 2007	Cina Hazegh	awarded
Computer Animation/Visual Effects 2005	Damien Ferrié	awarded
Alex Adriaansens	Interactive Art 1996	jurymember in
Virgil Widrich	Computer Animation / Visual Effects 2004	jurymember in
Interactive Art 2002	Erich Semlak	awarded
u19 - freestyle computing 2006	1C / GRG1 Stubenbastei	awarded
Digital Musics 1999	Zbigniew Karkowski	awarded
Bernhard Leitner	Computer Graphics 1991	jurymember in
Solveig Godeluck	Net Vision / Net Excellence 2001	jurymember in
Interactive Art 2004	Stefan Agamanolis	awarded
Computer Animation / Visual Effects 2003	Jérôme Decock	awarded
Computer Animation / Visual Effects 1999	Phil Tippett	awarded
Digital Musics 2002	Ana-Maria Avram	awarded
Digital Musics 2005	Alexandre Burton	awarded
Computer Animation / Visual Effects 1999	Digital Domain	awarded
Computer Graphics 1990	Arjen van der Meulen	awarded
Computer Graphics 1992	Zsolt Krajcsik	awarded
Computer Animation 1987	John Fekner	awarded
Computer Animation 1995	Michael Kass	awarded
Computer Animation/Visual Effects 2005	Alexander Kiesl	awarded
Digital Musics 2002	Alejandra Salinas	awarded
Digital Musics 2006	Sonig	awarded
Digital Musics 2005	Jens Brand	awarded
.net 2000	Stephan Maximilian Huber	awarded
u19 - freestyle computing 2007	Yasad Rabady	awarded
Computer Music 1997	Jonty Harrison	awarded
Shuzo John Shiota	Computer Animation / Visual Effects 2004	jurymember in
Interactive Art 1991	Peter Krieg	awarded
Markus Seidl	Net Vision 2006	jurymember in
Interactive Art 1990	Jeffrey Shaw	awarded
Digital Musics 2009	urban9	awarded
Hybrid Art 2009	#N/A	awarded
Mark Dippé	Computer Animation 1991	jurymember in
Interactive Art 1993	Horst Hörtner	awarded
Interactive Art 2009	Fannie White	awarded
u19 – freestyle computing 2009	Daniel Stocker	awarded
Media.Art.Research Award 2009	Andi Schoon	awarded
Digital Musics 2008	Marcos Alonso	awarded
Sirikit Amann	u19 - freestyle computing 2008	jurymember in
cybergeneration-u19 freestyle computing 2002	Projekt Dezentrale Medien	awarded
Net Vision / Net Excellence 2002	Michael Aschauer	awarded
Cornelia Lund	Media.Art.Research Award 2009	jurymember in
World Wide Web 1995	Ed Stastny	awarded
Computer Animation 1991	Karl Sims	awarded
Computeranimation / Visual Effects 2002	Jason Watts	awarded
Computer Music 1997	Francesco Boschetto	awarded
cybergeneration-u19 freestyle computing 2003	Franz Wengler	awarded
Computer Animation 1996	Christian Boustani	awarded
.net 2000	Telezone Team	awarded
Computer Animation / Visual Effects 1999	Bruno Lardé	awarded
Hybrid Art 2009	Eduardo Kac	awarded
William Buxton	Computer Music 1988	jurymember in
World Wide Web 1996	Manuel Schilcher	awarded
VertreterIn voestalpine	[the next idea] Art and Technology Grant 2009	jurymember in
Cornelia Sollfrank	Net Vision 2004	jurymember in
.net 1998	I/O/D	awarded
Net Vision 2006	Hide Ogawa	awarded
World Wide Web 1995	Robin Hanson	awarded
Computeranimation / Visual Effects 2002	Andrew Stanton	awarded
cybergeneration-u19 freestyle computing 1999	Jürgen Oman	awarded
Danah Boyd	Digital Communities 2005	jurymember in
.net 2000	Zelko Wiener	awarded
Computer Music 1995	Elizabeth Hoffman	awarded
Computer Music 1989	Haimo Wisser	awarded
Interactive Art 2000	Hiroaki Kitano	awarded
Computer Animation 1987	Delle Maxwell	awarded
Digital Musics 2000	Mark Fell	awarded
.net 1997	Taos Project	awarded
Digital Musics 2000	Mat Steel	awarded
Hybrid Art 2009	Joyce Hinterding	awarded
Rita Street	Computeranimation / Visual Effects 2002	jurymember in
u19-freestyle computing 2005	David Haslinger	awarded
Hybrid Art 2009	Chris Landreth	awarded
Interactive Art 1994		awarded
Rolf Herken	Computer Animation 1994	jurymember in
Alfred Nemeczek	Computer Graphics 1991	jurymember in
Digital Musics 2000	John Norman	awarded
Interactive Art 2005	Atau Tanaka	awarded
Interactive Art 2006	Alan Price	awarded
Computer Music 1994	Alejandro Viñao	awarded
Computer Animation 1990	Flavia Alman	awarded
Jon Snoddy	Interactive Art 1998	jurymember in
cybergeneration-u19 freestyle computing 1998	Peter Plessas	awarded
Computer Graphics 1989	Mike North	awarded
Digital Musics 2004	Christian Fennesz	awarded
Interactive Art 2004	Shelley Eshkar	awarded
Interactive Art 1998	Will Bauer	awarded
Computer Animation 1989	Zdzislaw Pokutycki	awarded
Interactive Art 1990	Robert Mulder	awarded
Hybrid Art 2009	Yokokoji	awarded
u19 - freestyle computing 2007	Sanja Pekez	awarded
Yuko Nexus 6	Digital Musics 2008	jurymember in
Stefan Sagmeister	cybergeneration-u19 freestyle computing 1999	jurymember in
.net 1997	Mark von Rahden	awarded
Computer Animation / Visual Effects 2004	Liam Kemp	awarded
Computer Animation 1993	Philippe Gassie	awarded
Joseph Paradiso	Interactive Art 2003	jurymember in
Interactive Art 2007	Usman Haque	awarded
Peter Weibel	Computer Graphics 1992	jurymember in
Computer Animation / Visual Effects 2001	Howard Wen	awarded
Scott S. Fisher	Interactive Art 2003	jurymember in
Digital Musics 2001	Alejandra Salinas	awarded
.net 2000	exonemo	awarded
Interactive Art 1992	Joachim Sauter	awarded
u19-freestyle computing 2005	Christof Barth	awarded
Wilhelm Burger	[the next idea] Art and Technology Grant 2006	jurymember in
cybergeneration-u19 freestyle computing 1999	Phil E. Haindl	awarded
u19 - freestyle computing 2008	Konrad Swietek	awarded
Tereza Szente	u19 - freestyle computing 2006	jurymember in
Digital Musics 1999	Ralf Wehowsky	awarded
Computer Animation 1993	Industrial Light & Magic (ILM)	awarded
Digital Musics 2002	Russell Haswell	awarded
Computer Animation/VFX/Film 2008	John Evans	awarded
Interactive Art 2003	dECOi	awarded
Computer Animation 1992	Matthew Brunner	awarded
Digital Musics 2005	Mike Cooper	awarded
Interactive Art 2007	Josephine Starrs	awarded
Interactive Art 2005	Steve Heimbecker	awarded
u19-freestyle computing 2004	Thomas Winkler	awarded
Digital Communities 2009		awarded
Alain Thibault	Digital Musics 2005	jurymember in
Computer Animation / Visual Effects 2001	Philippe Grammaticopoulos	awarded
Interactive Art 1990	Angelo Funicelli	awarded
Interactive Art 2003	Haruo Ishii	awarded
u19 - freestyle computing 2008	Daniel Kaltenbrunner	awarded
cybergeneration-u19 freestyle computing 2003	Anna Obermeier	awarded
Net Vision 2006	h.o	awarded
Digital Musics 2008	Teri Rueb	awarded
Digital Musics 2006	Stephen O´Malley	awarded
Florian Hecker	cybergeneration-u19 freestyle computing 2001	jurymember in
Interactive Art 2009	Willy Sengewald	awarded
Computer Graphics 1992	David Sherwin	awarded
Computer Music 1997	Laetitia Sonami	awarded
Interactive Art 2005	Ashok Sukumaran	awarded
Sirikit Amann	cybergeneration-u19 freestyle computing 2001	jurymember in
Michey McGovern	Interactive Art 1996	jurymember in
Digital Musics 2007	Nikita Golyshev	awarded
Angelika Plank	u19 - freestyle computing 2008	jurymember in
Christopher Lindinger	u19 - freestyle computing 2007	jurymember in
Net Vision 2005	James Paterson	awarded
Computer Animation / VFX / Film 2007	Zoltan Szabo	awarded
Computer Animation / Visual Effects 1998	Charles Gibson	awarded
Computer Animation 1995	Violet Suk	awarded
World Wide Web 1996	Mark Pesce	awarded
Naut Humon	Digital Musics 2006	jurymember in
Naut Humon	Digital Musics 2001	jurymember in
Computer Animation / VFX / Film 2007	Weta Digital Ltd	awarded
Bernhard Leitner	Computer Animation 1991	jurymember in
Digital Musics 1999	Chris Cunningham	awarded
u19 - freestyle computing 2008	Schülerhort Wilten	awarded
etoy.MONOROM	cybergeneration-u19 freestyle computing 2002	jurymember in
Digital Musics 1999	Richard Hawtin	awarded
.net 1999	Mark Napier	awarded
Machiko Kusahara	Interactive Art 1998	jurymember in
Florian Hecker	cybergeneration-u19 freestyle computing 2000	jurymember in
Computer Animation / Visual Effects 2001	Olivier Pautot	awarded
Machiko Kusahara	Interactive Art 1999	jurymember in
Daito Manabe	Digital Musics 2009	jurymember in
Interactive Art 1991	Christine Meierhofer	awarded
Kodwo Eshun	Digital Musics 2000	jurymember in
Milan Knizak	Computer Animation 1991	jurymember in
Computer Animation 1991	Robert Lurye	awarded
Interactive Art 2002	Alex Tang Chi-Chung	awarded
Net Vision 2006	Peter Edmunds	awarded
Interactive Art 2000	Jim Campbell	awarded
u19 - freestyle computing 2006	Robogreiner	awarded
Net Vision / Net Excellence 2003	James Tindall	awarded
Computer Music 1994	Patrick Ascione	awarded
Hybrid Art 2007	Tabaimo	awarded
cybergeneration-u19 freestyle computing 2001	Sonja Vrisk	awarded
Shanti Kalathil	Digital Communities 2004	jurymember in
Vittorio Giacci	Interactive Art 1995	jurymember in
Interactive Art 1995	Peter Grucza	awarded
Joichi Ito	.net 1998	jurymember in
Digital Musics 2007	Pei-Wen Liu	awarded
Digital Communities 2007	Alexandre Youssef	awarded
Roger Frank Malina	Interactive Art 1991	jurymember in
Interactive Art 1993	Kevin Ruston	awarded
.net 1998	moove	awarded
Interactive Art 2000	Rania Ho	awarded
Computer Animation / Visual Effects 2000	Zach Bell	awarded
Computer Graphics 1988	George Legrady	awarded
Computer Animation / Visual Effects 1998	Digital Domain	awarded
Interactive Art 1997	Joachim Sauter	awarded
Computer Animation 1997	Marine Poirson	awarded
cybergeneration-u19 freestyle computing 1999	Alexander Kvasnicka	awarded
Herbert W. Franke	Computer Animation 1988	jurymember in
John Markoff	Interactive Art 1998	jurymember in
Computer Music 1998	Aquiles Pantaleão	awarded
Computer Animation / VFX / Film 2007	Douglas Lassance	awarded
u19 – freestyle computing 2009	Jasmin Haider	awarded
Computer Animation / Visual Effects 2004	Leigh Hodgkinson	awarded
Computer Animation / Visual Effects 1998	Laurence Leydier	awarded
Computer Animation 1989	Susan Amkraut	awarded
Computer Animation / Visual Effects 1999	Andrew Stanton	awarded
Interactive Art 2001	Koichi Nishi	awarded
Lucy Petrovich	Computer Graphics 1994	jurymember in
Computer Music 1997	Ambrose Field	awarded
Computer Animation 1991	Peter Claridge	awarded
Vladimir Galaktionov	Computer Animation 1993	jurymember in
Interactive Art 2002	Yasuhiro Suzuki	awarded
Shuzo John Shiota	Computer Animation/Visual Effects 2005	jurymember in
Chris Wedge	Computer Animation 1997	jurymember in
Digital Musics 2000	Uli Troyer	awarded
Computer Animation/Visual Effects 2006	Ilija Brunck	awarded
Milan Knizak	Computer Animation 1992	jurymember in
	Michaela Hermann	awarded
Interactive Art 1992	Kristi Allik	awarded
Digital Musics 1999	John Duncan	awarded
[the next idea] Art- and Technology Grant 2004	Akio Kamisato	awarded
Computer Animation 1996	Tim Johnson	awarded
Computer Graphics 1990	Scott Howe	awarded
Computer Animation/Visual Effects 2005	Arnaud Ganzerli	awarded
Computer Animation/VFX/Film 2008	Datenstrudel	awarded
Marta Grabocz	Computer Music 1992	jurymember in
Interactive Art 1993	Gerfried Stocker	awarded
Digital Musics 2004	Mizuki Noguchi	awarded
Computer Animation 1997	Taku Kimura	awarded
Rob Young	Digital Musics 2006	jurymember in
Digital Musics 2002	Francisco López	awarded
Digital Musics 2007	Ran Slavin	awarded
Digital Communities 2004	Del.icio.us	awarded
Computer Graphics 1987	Peter Kogler	awarded
Computer Animation 1991	Yoichiro Kawaguchi	awarded
.net 1999	Joon Yu	awarded
Computer Animation / Visual Effects 2001	Stefen M. Fangmeier	awarded
Net Vision 2005	Amy Alexander	awarded
Ivanka Stoianova	Computer Music 1993	jurymember in
Interactive Art 1992	Rajinder Chand	awarded
u19 - freestyle computing 2006	Stjepan Milicevic	awarded
cybergeneration-u19 freestyle computing 1999	Alexander Fischl	awarded
Hybrid Art 2009	Guy Ben-Ary	awarded
.net 1999	David P. Anderson	awarded
Peter Kogler	Computer Animation 1995	jurymember in
Computer Animation 1991	Pascal Vuong	awarded
Computer Animation / Visual Effects 1998	Kazuma Morino	awarded
Paul Sermon	Interactive Art 1999	jurymember in
	Verena Riedl	awarded
Joachim Schnaitter	u19-freestyle computing 2004	jurymember in
Computer Graphics 1988	Mark Wilson	awarded
Computer Animation / Visual Effects 2004	Mikitaka Kurasawa	awarded
Net Vision / Net Excellence 2002	Josef Deinhofer	awarded
Herbert W. Franke	Computer Graphics 1988	jurymember in
Interactive Art 1999	Daniel Rozin	awarded
Interactive Art 2004	Mengbo Feng	awarded
Computer Animation 1987	Chris Wedge	awarded
Michael Wahrman	Computer Animation 1997	jurymember in
Computer Music 1998	Peter Bosch	awarded
Computer Music 1988	Javier Alvarez	awarded
Digital Musics 2004	Anne Laplantine	awarded
Andreas Hirsch	Digital Communities 2005	jurymember in
u19-freestyle computing 2004	Franz Haider	awarded
u19-freestyle computing 2004	Sebastian Schreiner	awarded
Interactive Art 2007	Agnes Meyer-Brandis	awarded
u19-freestyle computing 2004	Multimedia Team: Europahauptschule Hall/Tirol	awarded
Interactive Art 2002	Tetsuya Mizuguchi	awarded
Hybrid Art 2009	Ben Frost  / Chunky Move	awarded
Stephen Arnold	Computer Music 1997	jurymember in
Gerfried Stocker	Interactive Art 1996	jurymember in
Computer Graphics 1988	Thomas Wittmer	awarded
World Wide Web 1995	Stephanie Cunningham	awarded
Interactive Art 2005	Dominik Barbier	awarded
Net Vision 2004	Mike Bennett	awarded
Digital Musics 2008	Sergi Jordà	awarded
Werner Jauk	Computer Music 1993	jurymember in
Interactive Art 1990	Waltraud Cooper	awarded
Interactive Art 2000	Andrea Zapp	awarded
Interactive Art 1990	Chico McMurtrie	awarded
Interactive Art 2008	Zachary Lieberman	awarded
Erkki Huhtamo	Interactive Art 2007	jurymember in
Computer Animation / Visual Effects 2003	Romain Segaud	awarded
Digital Musics 2004	John Duncan	awarded
Christa Sommerer	[the next idea] Art and Technology Grant 2006	jurymember in
Net Vision 2005	NetROBOt Team	awarded
Gerard Grisey	Computer Music 1987	jurymember in
Computer Animation 1996	Lee Unkrich	awarded
Wilhelm Burger	[the next idea] Art- and Technology Grant 2004	jurymember in
u19 - freestyle computing 2008	Tarek Khalifa	awarded
Claudia Giannetti	.net 2000	jurymember in
Interactive Art 2004	Marc Coniglio	awarded
Computer Music 1989	Alejandro Viñao	awarded
Computer Graphics 1987	Naoko Motoyoshi	awarded
Computer Animation / VFX / Film 2007	Ben Hibon	awarded
Horst Hörtner	cybergeneration-u19 freestyle computing 2001	jurymember in
cybergeneration-u19 freestyle computing 2002	Marian Kogler	awarded
Interactive Art 1999	Eric Paulos	awarded
Interactive Art 1998	Jean-Baptiste Barrière	awarded
Trevor Wishart	Computer Music 1992	jurymember in
Digital Musics 2001	Tigerbeat6	awarded
Digital Musics 2000	Ryoji Ikeda	awarded
Peter Higgins	Interactive Art 2002	jurymember in
.net 2000	Ichiro Aikawa	awarded
Edwin van der Heide	Interactive Art 2005	jurymember in
Herbert W. Franke	Computer Graphics 1989	jurymember in
Computer Animation / VFX / Film 2007	Robert Hales	awarded
Interactive Art 2007	Bernie Lubell	awarded
Digital Musics 2001	Blevin Blectum	awarded
Digital Musics 2000	Dat Politics	awarded
Computer Graphics 1990	Achim Stösser	awarded
.net 2000	Birte Steffan	awarded
u19 - freestyle computing 2007	Erik Setik	awarded
Tanja Diezmann	Net Vision / Net Excellence 2002	jurymember in
Net Vision 2006	Ricardo Miranda Zuñiga	awarded
Computer Animation 1994	Michael Collery	awarded
.net 1997	Dirk Paesmans	awarded
Digital Musics 2004	John Leafcutter	awarded
Richard Kriesche	Computer Graphics 1987	jurymember in
Digital Communities 2005	Kubatana Project	awarded
Declan McCullagh	.net 1999	jurymember in
Interactive Art 2008	Dan Paluska	awarded
u19 – freestyle computing 2009	David Wurm	awarded
Computer Graphics 1991	Mike Zender	awarded
cybergeneration-u19 freestyle computing 1998	Futureware 2001	awarded
Computer Animation / Visual Effects 1998	Julien Dajez	awarded
Interactive Art 2007	Vincent Elka	awarded
Digital Musics 2004	Paul Panhuysen	awarded
Digital Musics 2007	Chris Watson	awarded
